Sample,Condition,Tracer,compound,datatype,value
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-6-phosphate,Abund,16096995.99
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-6-phosphate,NormAbund,16096995.99
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-1-phosphate,Abund,802187.0758
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-1-phosphate,NormAbund,802187.0758
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-6-phosphate,Abund,3004429.702
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-6-phosphate,NormAbund,3004429.702
P6 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 1,6-bisphosphate",Abund,24338657.51
P6 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 1,6-bisphosphate",NormAbund,24338657.51
P6 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",Abund,1369702.455
P6 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",NormAbund,1369702.455
P6 Trac1,PGM1-CDG,13C6 Nutrient1,"Glucose 1,6-bisphosphate",Abund,4489278.542
P6 Trac1,PGM1-CDG,13C6 Nutrient1,"Glucose 1,6-bisphosphate",NormAbund,4489278.542
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,Abund,137254794.7
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,NormAbund,137254794.7
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate glucuronic acid,Abund,33780006.35
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate glucuronic acid,NormAbund,33780006.35
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate hexose,Abund,190590059.5
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate hexose,NormAbund,190590059.5
P6 Trac1,PGM1-CDG,13C6 Nutrient1,GDP-Fucose,Abund,3227028.569
P6 Trac1,PGM1-CDG,13C6 Nutrient1,GDP-Fucose,NormAbund,3227028.569
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Fructose-6-phosphate,Abund,99503642.11
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Fructose-6-phosphate,NormAbund,99503642.11
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-1-phosphate,Abund,1318000394
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-1-phosphate,NormAbund,1318000394
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-6-phosphate,Abund,136205.5909
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-6-phosphate,NormAbund,136205.5909
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-1-phosphate,Abund,156267835.9
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-1-phosphate,NormAbund,156267835.9
P6 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-6-phosphate,Abund,16162215.34
