"","compound","datatype","cohort","P_RA","Abund","Labeling","Fraction","label_cont","P_FC","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"109","L-Lysine","FracCont","1*",0.00105458955276798,1,"Labeled",0.00122773001906309,0.001,0.827259346562712,"0.1%",0,0,"P_FC=0.83","pRA=0*"
"110","L-Lysine","FracCont","1*",0.00105458955276798,1,"Unlabeled",0.998772269980937,0.999,NA,"",0,0,"","pRA=0*"
"111","L-Malic acid","FracCont","0.5*",0.0229308324550878,0.949407833095087,"Labeled",0.00122013904034915,0.001,0.04630159491511,"0.1%",0,0,"P_FC=0.05*","pRA=0.02*"
"112","L-Malic acid","FracCont","0.5*",0.0229308324550878,0.949407833095087,"Unlabeled",0.948187694054738,0.999,NA,"",0,0,"","pRA=0.02*"
"113","L-Malic acid","FracCont","1*",0.0138451667475557,1,"Labeled",0.00215962873799534,0.002,0.04630159491511,"0.2%",0,0,"P_FC=0.05*","pRA=0.01*"
"114","L-Malic acid","FracCont","1*",0.0138451667475557,1,"Unlabeled",0.997840371262005,0.998,NA,"",0,0,"","pRA=0.01*"
"115","L-Methionine","FracCont","0.5*",0.00450067009637134,0.772834040923644,"Labeled",0.00743222764708607,0.01,0.512690760261924,"1%",0,0,"P_FC=0.51","pRA=0*"
"116","L-Methionine","FracCont","0.5*",0.00450067009637134,0.772834040923644,"Unlabeled",0.765401813276558,0.99,NA,"",0,0,"","pRA=0*"
"117","L-Methionine","FracCont","1*",0.00043625714715851,1,"Labeled",0.00972982235857983,0.01,0.512690760261924,"1%",0,0,"P_FC=0.51","pRA=0*"
"118","L-Methionine","FracCont","1*",0.00043625714715851,1,"Unlabeled",0.99027017764142,0.99,NA,"",0,0,"","pRA=0*"
"119","L-Phenylalanine","FracCont","0.5*",0.00223554299234766,0.75115732687588,"Labeled",0.000101086139877692,0,0.126630457947616,"0%",0,0,"P_FC=0.13","pRA=0*"
"120","L-Phenylalanine","FracCont","0.5*",0.00223554299234766,0.75115732687588,"Unlabeled",0.751056240736002,1,NA,"",0,0,"","pRA=0*"
"121","L-Phenylalanine","FracCont","1*",0.000312287060432904,1,"Labeled",0.000272879495647106,0,0.275233524074834,"0%",0,0,"P_FC=0.28","pRA=0*"
"122","L-Phenylalanine","FracCont","1*",0.000312287060432904,1,"Unlabeled",0.999727120504353,1,NA,"",0,0,"","pRA=0*"
"123","L-Proline","FracCont","0.5*",0.0100534224430913,0.651455395223242,"Labeled",0,0,0.121335250358482,"0%",0,0,"P_FC=0.12","pRA=0.01*"
"124","L-Proline","FracCont","0.5*",0.0100534224430913,0.651455395223242,"Unlabeled",0.651455395223242,1,NA,"",0,0,"","pRA=0.01*"
"125","L-Proline","FracCont","1*",0.000707208797789999,1,"Labeled",0,0,0.121335250358482,"0%",0,0,"P_FC=0.12","pRA=0*"
"126","L-Proline","FracCont","1*",0.000707208797789999,1,"Unlabeled",1,1,NA,"",0,0,"","pRA=0*"
"127","L-Serine","FracCont","0.5",0.809767273291231,0.0881800904370903,"Labeled",0.000353972564279542,0.004,NA,"0.4%",0,0,"","pRA=0.81"
"128","L-Serine","FracCont","0.5",0.809767273291231,0.0881800904370903,"Unlabeled",0.0878261178728107,0.996,NA,"",0,0,"","pRA=0.81"
"129","L-Serine","FracCont","1",0.029069861242977,1,"Labeled",0,0,NA,"0%",0,0,"","pRA=0.03*"
"130","L-Serine","FracCont","1",0.029069861242977,1,"Unlabeled",1,1,NA,"",0,0,"","pRA=0.03*"
"131","L-Threonine","FracCont","0.5*",0.0108308436428975,0.549763977967079,"Labeled",0,0,0.0369039536137181,"0%",0,0,"P_FC=0.04*","pRA=0.01*"
"132","L-Threonine","FracCont","0.5*",0.0108308436428975,0.549763977967079,"Unlabeled",0.549763977967079,1,NA,"",0,0,"","pRA=0.01*"
"133","L-Threonine","FracCont","1*",0.000101600274901548,1,"Labeled",0,0,0.0369039536137181,"0%",0,0,"P_FC=0.04*","pRA=0*"
"134","L-Threonine","FracCont","1*",0.000101600274901548,1,"Unlabeled",1,1,NA,"",0,0,"","pRA=0*"
"135","L-Tryptophan","FracCont","0.5*",0.0110409528776583,0.727017694842146,"Labeled",0.00102068645195584,0.001,0.0495346134356268,"0.1%",0,0,"P_FC=0.05*","pRA=0.01*"
"136","L-Tryptophan","FracCont","0.5*",0.0110409528776583,0.727017694842146,"Unlabeled",0.72599700839019,0.999,NA,"",0,0,"","pRA=0.01*"
"137","L-Tryptophan","FracCont","1*",0.00134635268766288,1,"Labeled",0.00159736226441499,0.002,0.0495346134356268,"0.2%",0,0,"P_FC=0.05*","pRA=0*"
"138","L-Tryptophan","FracCont","1*",0.00134635268766288,1,"Unlabeled",0.998402637735585,0.998,NA,"",0,0,"","pRA=0*"
"139","L-Tyrosine","FracCont","0.5*",0.0111098349674592,0.631045884377248,"Labeled",0.00744390545289454,0.012,0.0495346134356268,"1.2%",0,0,"P_FC=0.05*","pRA=0.01*"
"140","L-Tyrosine","FracCont","0.5*",0.0111098349674592,0.631045884377248,"Unlabeled",0.623601978924354,0.988,NA,"",0,0,"","pRA=0.01*"
