"","compound","datatype","cohort","P","average"
"196","Glycine","Isotopologue_C13-0","1",0.275233524074834,1.01446617071334
"197","Glycine","Isotopologue_C13-1","0.5",0.512690760261924,-0.00739379775451349
"198","Glycine","Isotopologue_C13-1","1",0.275233524074834,-0.00711928078940198
"199","Glycine","Isotopologue_C13-2","0.5",0.512690760261924,-0.00854950924386894
"200","Glycine","Isotopologue_C13-2","1",0.126630457947616,-0.00734688992393784
"201","Hexose","FracCont","0.5",0.0495346134356268,1.00618106765966
"202","Hexose","FracCont","1",0.0495346134356268,1.00412491180728
"203","Hexose","Isotopologue_C13-0","0.5",0.126630457947616,0.0107113659803071
"204","Hexose","Isotopologue_C13-0","1",0.0495346134356268,0.0125460292102
"205","Hexose","Isotopologue_C13-1","0.5",0.275233524074834,1.86664064250679e-05
"206","Hexose","Isotopologue_C13-1","1",0.126630457947616,-3.53746999372173e-05
"207","Hexose","Isotopologue_C13-2","0.5",0.512690760261924,-4.81472780297177e-05
"208","Hexose","Isotopologue_C13-2","1",0.0495346134356268,-3.27728781999446e-05
"209","Hexose","Isotopologue_C13-3","0.5",0.0495346134356268,6.79001612143606e-05
"210","Hexose","Isotopologue_C13-3","1",0.0495346134356268,0.000326802724245488
"211","Hexose","Isotopologue_C13-4","0.5",0.512690760261924,0.000522944210391142
"212","Hexose","Isotopologue_C13-4","1",0.275233524074834,0.000541300510373353
"213","Hexose","Isotopologue_C13-5","0.5",0.512690760261924,-0.0170630575597445
"214","Hexose","Isotopologue_C13-5","1",0.126630457947616,-0.0169423011460827
"215","Hexose","Isotopologue_C13-6","0.5",0.0495346134356268,1.00579032807944
"216","Hexose","Isotopologue_C13-6","1",0.0495346134356268,1.0035963162794
"217","Hexose-phosphate","FracCont","0.5",0.0495346134356268,0.198288974249293
"218","Hexose-phosphate","FracCont","1",0.0495346134356268,0.149368944060171
"219","Hexose-phosphate","Isotopologue_C13-0","0.5",0.0495346134356268,0.792337218638772
"220","Hexose-phosphate","Isotopologue_C13-0","1",0.0495346134356268,0.808880682337257
"221","Hexose-phosphate","Isotopologue_C13-1","0.5",0.0495346134356268,-0.0146019768851407
"222","Hexose-phosphate","Isotopologue_C13-1","1",0.0495346134356268,-0.0126336802063125
"223","Hexose-phosphate","Isotopologue_C13-2","0.5",0.0495346134356268,-0.0207641986143216
"224","Hexose-phosphate","Isotopologue_C13-2","1",0.0495346134356268,-0.0119085807558704
"225","Hexose-phosphate","Isotopologue_C13-3","0.5",0.0495346134356268,0.107319349713739
"226","Hexose-phosphate","Isotopologue_C13-3","1",0.0495346134356268,0.13363530692141
"227","Hexose-phosphate","Isotopologue_C13-4","0.5",0.275233524074834,-0.00811840502164882
"228","Hexose-phosphate","Isotopologue_C13-4","1",0.512690760261924,-0.000453387617588222
"229","Hexose-phosphate","Isotopologue_C13-5","0.5",0.126630457947616,0.00156031642054555
"230","Hexose-phosphate","Isotopologue_C13-5","1",0.126630457947616,0.00608183535030632
"231","Hexose-phosphate","Isotopologue_C13-6","0.5",0.126630457947616,0.142267695748054
"232","Hexose-phosphate","Isotopologue_C13-6","1",0.512690760261924,0.0763978239707983
"233","L-Alanine","FracCont","0.5",0.512690760261924,0.00779831441066584
"234","L-Alanine","FracCont","1",0.0495346134356268,0.0231489392231548
"235","L-Alanine","Isotopologue_C13-0","0.5",0.275233524074834,1.01168772661777
"236","L-Alanine","Isotopologue_C13-0","1",0.0495346134356268,0.995992278456828
"237","L-Alanine","Isotopologue_C13-1","0.5",0.0495346134356268,-0.00862482557102246
"238","L-Alanine","Isotopologue_C13-1","1",0.275233524074834,-0.00869807667802481
"239","L-Alanine","Isotopologue_C13-2","0.5",0.512690760261924,-0.0108612154574162
"240","L-Alanine","Isotopologue_C13-2","1",0.512690760261924,-0.0104431410019581
"241","L-Alanine","Isotopologue_C13-3","0.5",0.512690760261924,0.00779831441066584
"242","L-Alanine","Isotopologue_C13-3","1",0.0495346134356268,0.0231489392231548
"243","L-Asparagine","FracCont","0.5",0.827259346562712,0.0617102771786524
"244","L-Asparagine","FracCont","1",0.275233524074834,0.0996646262092422
"245","L-Asparagine","Isotopologue_C13-0","0.5",0.827259346562712,0.988968526999153
"246","L-Asparagine","Isotopologue_C13-0","1",0.512690760261924,0.939572023557535
"247","L-Asparagine","Isotopologue_C13-1","0.5",0.512690760261924,0.122104843139902
"248","L-Asparagine","Isotopologue_C13-1","1",0.827259346562712,0.175350369792038
"249","L-Asparagine","Isotopologue_C13-2","0.5",0.827259346562712,-0.0993298787498898
"250","L-Asparagine","Isotopologue_C13-2","1",0.827259346562712,-0.0965202733896242
"251","L-Asparagine","Isotopologue_C13-3","0.5",0.827259346562712,-0.0202210325622192
"252","L-Asparagine","Isotopologue_C13-3","1",0.512690760261924,-0.0271448437718743
"253","L-Asparagine","Isotopologue_C13-4","0.5",0.827259346562712,0.00847754117305328
"254","L-Asparagine","Isotopologue_C13-4","1",0.827259346562712,0.00874272381192579
"255","L-Aspartic acid","FracCont","0.5",0.0495346134356268,0.033173980294041
"256","L-Aspartic acid","FracCont","1",0.275233524074834,0.0423427012539156
"257","L-Aspartic acid","Isotopologue_C13-0","0.5",0.827259346562712,0.96761850197121
"258","L-Aspartic acid","Isotopologue_C13-0","1",0.0495346134356268,0.955397807687918
"259","L-Aspartic acid","Isotopologue_C13-1","0.5",0.275233524074834,-0.00593025870883817
"260","L-Aspartic acid","Isotopologue_C13-1","1",0.0495346134356268,-0.00634550448111925
"261","L-Aspartic acid","Isotopologue_C13-2","0.5",0.0495346134356268,-0.00500084425959664
"262","L-Aspartic acid","Isotopologue_C13-2","1",0.0495346134356268,-0.0050344921265847
"263","L-Aspartic acid","Isotopologue_C13-3","0.5",0.0495346134356268,0.0434722547741054
"264","L-Aspartic acid","Isotopologue_C13-3","1",0.275233524074834,0.0545579506634803
"265","L-Aspartic acid","Isotopologue_C13-4","0.5",0.0495346134356268,-0.000159653776880481
"266","L-Aspartic acid","Isotopologue_C13-4","1",0.0495346134356268,0.00142423825630543
"267","L-Cysteine","FracCont","0.5",0.0495346134356268,0.0170227477208601
"268","L-Cysteine","FracCont","1",0.0495346134356268,0.0179294263927815
"269","L-Cysteine","Isotopologue_C13-0","0.5",0.0495346134356268,1.25458295017759
"270","L-Cysteine","Isotopologue_C13-0","1",0.0495346134356268,1.25564431403653
"271","L-Cysteine","Isotopologue_C13-1","0.5",0.275233524074834,-0.124811952409173
"272","L-Cysteine","Isotopologue_C13-1","1",0.275233524074834,-0.130232953012381
"273","L-Cysteine","Isotopologue_C13-2","0.5",0.275233524074834,-0.146793745489279
"274","L-Cysteine","Isotopologue_C13-2","1",0.126630457947616,-0.143340787416935
"275","L-Cysteine","Isotopologue_C13-3","0.5",0.0495346134356268,0.0170227477208601
"276","L-Cysteine","Isotopologue_C13-3","1",0.0495346134356268,0.0179294263927815
"277","L-Glutamic acid","FracCont","0.5",0.512690760261924,0.000438572168246488
