"","compound","datatype","Isotopologue","cohort","P_RA","Abund","Fraction","label_cont","P_iso","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"115","Glucose","Isotopologue","C13-0","1",0.845042186673414,0.879418280837673,0.0101686712008912,0.012,0.0495346134356268,"1.2%",-10.006,0.7,"P_iso=0.05*","pRA=0.85"
"116","Glucose","Isotopologue","C13-1","0.5",0.404805230133251,1,0,0,0.275233524074834,"<0.05%",-11.011,0.7,"P_iso=0.28","pRA=0.4"
"117","Glucose","Isotopologue","C13-1","1",0.845042186673414,0.879418280837673,0,0,0.275233524074834,"<0.05%",-10.012,0.7,"P_iso=0.28","pRA=0.85"
"118","Glucose","Isotopologue","C13-2","0.5",0.404805230133251,1,0,0,0.512690760261924,"<0.05%",-11.011,0.7,"P_iso=0.51","pRA=0.4"
"119","Glucose","Isotopologue","C13-2","1",0.845042186673414,0.879418280837673,0,0,0.275233524074834,"<0.05%",-10.012,0.7,"P_iso=0.28","pRA=0.85"
"120","Glucose","Isotopologue","C13-3","0.5",0.404805230133251,1,0,0,0.0495346134356268,"<0.05%",-11.011,0.7,"P_iso=0.05*","pRA=0.4"
"121","Glucose","Isotopologue","C13-3","1",0.845042186673414,0.879418280837673,0,0,0.0495346134356268,"<0.05%",-10.012,0.7,"P_iso=0.05*","pRA=0.85"
"122","Glucose","Isotopologue","C13-4","0.5",0.404805230133251,1,0,0,0.512690760261924,"<0.05%",-11.011,0.7,"P_iso=0.51","pRA=0.4"
"123","Glucose","Isotopologue","C13-4","1",0.845042186673414,0.879418280837673,0,0,0.512690760261924,"<0.05%",-10.012,0.7,"P_iso=0.51","pRA=0.85"
"124","Glucose","Isotopologue","C13-5","0.5",0.404805230133251,1,0,0,0.512690760261924,"<0.05%",-11.011,0.7,"P_iso=0.51","pRA=0.4"
"125","Glucose","Isotopologue","C13-5","1",0.845042186673414,0.879418280837673,0,0,0.512690760261924,"<0.05%",-10.012,0.7,"P_iso=0.51","pRA=0.85"
"126","Glucose","Isotopologue","C13-6","0.5",0.404805230133251,1,0.990210702734414,0.99,0.0495346134356268,"99%",-11.506,0.7,"P_iso=0.05*","pRA=0.4"
"127","Glucose","Isotopologue","C13-6","1",0.845042186673414,0.879418280837673,0.869249609636781,0.988,0.0495346134356268,"98.8%",-10.506,0.7,"P_iso=0.05*","pRA=0.85"
"128","Glucuronic acid","Isotopologue","C13-0","0.5",0.00291160576478717,0.87613376073733,0.871425671886531,0.995,0.0495346134356268,"99.5%",-12.4985,0.7,"P_iso=0.05*","pRA=0*"
"129","Glucuronic acid","Isotopologue","C13-0","1",0.00133278445055339,1,1,1,0.0495346134356268,"100%",-11.5,0,"P_iso=0.05*","pRA=0*"
"130","Glucuronic acid","Isotopologue","C13-1","0.5",0.00291160576478717,0.87613376073733,0,0,0.0495346134356268,"<0.05%",-12.996,0.7,"P_iso=0.05*","pRA=0*"
"131","Glucuronic acid","Isotopologue","C13-1","1",0.00133278445055339,1,0,0,0.0495346134356268,"<0.05%",-12,0.7,"P_iso=0.05*","pRA=0*"
"132","Glucuronic acid","Isotopologue","C13-2","0.5",0.00291160576478717,0.87613376073733,0,0,0.275233524074834,"<0.05%",-12.996,0.7,"P_iso=0.28","pRA=0*"
"133","Glucuronic acid","Isotopologue","C13-2","1",0.00133278445055339,1,0,0,0.126630457947616,"<0.05%",-12,0.7,"P_iso=0.13","pRA=0*"
"134","Glucuronic acid","Isotopologue","C13-3","0.5",0.00291160576478717,0.87613376073733,0,0,0.0495346134356268,"<0.05%",-12.996,0.7,"P_iso=0.05*","pRA=0*"
"135","Glucuronic acid","Isotopologue","C13-3","1",0.00133278445055339,1,0,0,0.0495346134356268,"<0.05%",-12,0.7,"P_iso=0.05*","pRA=0*"
"136","Glucuronic acid","Isotopologue","C13-4","0.5",0.00291160576478717,0.87613376073733,0,0,0.0495346134356268,"<0.05%",-12.996,0.7,"P_iso=0.05*","pRA=0*"
"137","Glucuronic acid","Isotopologue","C13-4","1",0.00133278445055339,1,0,0,0.0495346134356268,"<0.05%",-12,0.7,"P_iso=0.05*","pRA=0*"
"138","Glucuronic acid","Isotopologue","C13-5","0.5",0.00291160576478717,0.87613376073733,0,0,0.0495346134356268,"<0.05%",-12.996,0.7,"P_iso=0.05*","pRA=0*"
"139","Glucuronic acid","Isotopologue","C13-5","1",0.00133278445055339,1,0,0,0.827259346562712,"<0.05%",-12,0.7,"P_iso=0.83","pRA=0*"
"140","Glucuronic acid","Isotopologue","C13-6","0.5",0.00291160576478717,0.87613376073733,0.00470808885079896,0.005,0.512690760261924,"0.5%",-12.9985,0.7,"P_iso=0.51","pRA=0*"
"141","Glucuronic acid","Isotopologue","C13-6","1",0.00133278445055339,1,0,0,0.512690760261924,"<0.05%",-12,0.7,"P_iso=0.51","pRA=0*"
"142","Glycerol 3-phosphate","Isotopologue","C13-0","0.5",0.0273908866529581,0.903262190911821,0.892846350667005,0.988,0.0495346134356268,"98.8%",-13.495,0.7,"P_iso=0.05*","pRA=0.03*"
"143","Glycerol 3-phosphate","Isotopologue","C13-0","1",0.00952848225091237,1,0.99211723128758,0.992,0.0495346134356268,"99.2%",-12.496,0.7,"P_iso=0.05*","pRA=0.01*"
"144","Glycerol 3-phosphate","Isotopologue","C13-1","0.5",0.0273908866529581,0.903262190911821,0,0,0.126630457947616,"<0.05%",-13.989,0.7,"P_iso=0.13","pRA=0.03*"
"145","Glycerol 3-phosphate","Isotopologue","C13-1","1",0.00952848225091237,1,0,0,0.0495346134356268,"<0.05%",-12.992,0.7,"P_iso=0.05*","pRA=0.01*"
"146","Glycerol 3-phosphate","Isotopologue","C13-2","0.5",0.0273908866529581,0.903262190911821,0,0,0.0495346134356268,"<0.05%",-13.989,0.7,"P_iso=0.05*","pRA=0.03*"
